,carat,cut,color,clarity,depth,table,price
58,2.13,Ideal,E,VVS2,61.4,55,"$42,302 "
59,2.12,Ideal,H,VS1,61.5,55.5,"$30,229 "
60,2.12,Ideal,G,VVS2,61.7,55.9,"$35,549 "
61,2.11,Ideal,D,VS1,61.4,55.1,"$49,235 "
62,2.11,Ideal,F,SI1,61.5,57,"$25,004 "
63,2.1,Ideal,I,VS2,61.9,56,"$19,601 "
64,2.1,Ideal,I,VS2,61.8,56,"$19,376 "
65,2.09,Ideal,J,VS2,60.9,55.8,"$19,298 "
66,2.08,Ideal,G,SI1,61.2,55.9,"$26,804 "
67,2.08,Ideal,I,VS2,61.3,58,"$19,551 "
68,2.08,Ideal,E,VS1,61.8,56,"$37,588 "
69,2.07,Ideal,H,VS2,61.8,56,"$23,256 "
70,2.07,Ideal,G,SI1,61.7,55,"$23,564 "
71,2.05,Ideal,F,VS1,60.8,57.4,"$39,474 "
72,2.05,Ideal,F,VS2,61.1,57,"$28,106 "
73,2.04,Ideal,H,SI1,60.8,57,"$20,344 "
74,2.04,Ideal,F,VVS2,60.9,57,"$37,696 "
75,2.04,Ideal,I,SI1,61.7,56,"$17,437 "
76,2.04,Ideal,I,VS2,60.9,56,"$21,645 "
77,2.04,Ideal,G,VS1,61.9,56,"$29,549 "
78,2.03,Ideal,F,VVS2,60.9,56,"$36,961 "
79,2.03,Ideal,I,VS1,61.5,55.7,"$23,549 "
80,2.03,Ideal,H,SI1,61.8,57,"$19,792 "
81,2.02,Ideal,J,VS2,61.5,55,"$15,797 "
82,2.02,Ideal,J,VS2,61.2,55.8,"$18,652 "
83,2.02,Ideal,G,VS2,61.2,55.9,"$31,651 "
84,2.01,Ideal,I,VS1,61.2,56.1,"$23,317 "
85,2.01,Ideal,F,VS1,61.4,58,"$31,040 "
86,1.95,Ideal,I,VS2,61.7,57,"$17,790 "
87,1.94,Ideal,I,VS2,61.3,56,"$17,405 "
88,1.94,Ideal,H,SI1,61.5,56,"$17,772 "
89,1.94,Ideal,I,VS2,61.6,57,"$17,954 "
90,1.94,Ideal,J,VS2,61.4,58,"$14,167 "
91,1.93,Ideal,G,VS1,61.8,55,"$24,230 "
92,1.92,Ideal,F,VVS1,61.3,57,"$33,457 "
93,1.9,Ideal,H,SI1,60.1,56,"$16,951 "
94,1.9,Ideal,G,VS2,61.5,57,"$22,286 "
95,1.88,Ideal,G,VS2,61.9,57,"$21,098 "
96,1.87,Ideal,F,VS2,61.4,57,"$22,747 "
97,1.85,Ideal,J,VS1,61.4,56.3,"$15,824 "
98,1.85,Ideal,I,VS2,61.6,55,"$16,353 "
99,1.85,Ideal,H,SI1,61,56,"$17,162 "
100,1.84,Ideal,F,VVS1,61.6,55,"$30,801 "
101,1.84,Ideal,I,VS2,61.8,56,"$16,026 "
102,1.82,Ideal,G,VS2,61.9,56,"$22,015 "
103,1.82,Ideal,G,SI1,61.7,56,"$17,921 "
104,1.82,Ideal,G,VS2,61.6,57,"$20,524 "
105,1.82,Ideal,G,VS1,61.5,57,"$22,572 "
106,1.81,Ideal,F,VS1,61.9,55,"$25,912 "
107,1.81,Ideal,G,VS2,62,55,"$20,346 "
108,1.81,Ideal,H,VS1,61.6,56.5,"$21,285 "
109,1.8,Ideal,H,SI1,61.9,57,"$14,606 "
110,1.8,Ideal,I,SI1,61.5,55.9,"$16,146 "
111,1.8,Ideal,I,VS2,61.6,55.8,"$17,191 "
112,1.8,Ideal,G,VS2,61.6,56.5,"$23,082 "
113,1.8,Ideal,D,SI1,61.3,57.3,"$23,328 "
114,1.78,Ideal,H,SI1,61.6,53,"$15,011 "
115,1.76,Ideal,E,VS2,61.6,56.7,"$26,060 "
116,1.75,Ideal,H,SI1,61.9,56,"$15,496 "
117,1.75,Ideal,G,SI1,61.9,56,"$16,466 "
118,1.73,Ideal,H,VS2,61.7,55,"$18,815 "
119,1.73,Ideal,F,VS1,61.3,56,"$23,647 "
120,1.73,Ideal,J,SI1,61.5,56,"$10,979 "
121,1.72,Ideal,F,VS1,61.6,56,"$23,620 "
122,1.72,Ideal,E,VVS1,61.8,56,"$29,220 "
123,1.72,Ideal,F,SI1,61.5,56,"$18,264 "
124,1.72,Ideal,H,VS2,61.6,55.3,"$18,706 "
125,1.72,Ideal,G,VS2,61.7,55.7,"$21,117 "
126,1.72,Ideal,I,VS2,61.4,57,"$14,387 "
127,1.72,Ideal,H,VS2,61.5,57,"$17,118 "
128,1.71,Ideal,G,VS1,62.3,56,"$17,921 "
129,1.71,Ideal,G,VS1,61.8,56,"$19,376 "
130,1.71,Ideal,J,VS2,61.5,57,"$12,115 "
131,1.71,Ideal,F,VVS2,61.9,56,"$23,831 "
132,1.7,Ideal,G,VS2,61.6,56,"$18,406 "
133,1.7,Ideal,I,SI1,61.1,56,"$11,910 "
134,1.7,Ideal,F,VS2,61.5,56.2,"$22,551 "
135,1.68,Ideal,H,SI1,61.8,56,"$13,670 "
136,1.68,Ideal,H,SI1,61.8,56.2,"$15,390 "
137,1.67,Ideal,G,SI1,61.7,57,"$12,599 "
138,1.66,Ideal,J,VS1,62,56,"$11,306 "
139,1.66,Ideal,G,SI1,61.6,56,"$14,526 "
140,1.65,Ideal,F,SI1,61,57,"$14,824 "
141,1.65,Ideal,H,SI1,61.7,55,"$15,115 "
142,1.64,Ideal,G,VS2,61.5,55.7,"$18,190 "
143,1.64,Ideal,E,VS2,61.5,56.5,"$22,252 "
144,1.64,Ideal,F,VS1,61.9,56,"$19,924 "
145,1.63,Ideal,G,SI1,61.3,55.8,"$17,110 "
146,1.63,Ideal,E,VS1,61.6,56.1,"$25,641 "
147,1.62,Ideal,J,VS1,61.5,56.5,"$12,088 "
148,1.62,Ideal,I,VS2,61.8,54.9,"$13,309 "
149,1.62,Ideal,H,VS1,61.5,55.9,"$16,717 "
150,1.62,Ideal,G,VS2,61.7,55.4,"$17,968 "
151,1.61,Ideal,J,VS2,61.7,55.1,"$11,465 "
152,1.61,Ideal,H,SI1,61.9,55.2,"$14,749 "
153,1.6,Ideal,F,VS2,61.7,56.4,"$18,601 "
154,1.59,Ideal,I,SI2,61.5,55.8,"$11,905 "
155,1.59,Ideal,H,SI1,61.3,56,"$16,184 "
156,1.59,Ideal,I,SI1,61.4,57,"$9,676 "
157,1.58,Ideal,F,VS2,62.3,55.7,"$15,950 "
158,1.58,Ideal,G,VS1,61.7,55.9,"$18,498 "
159,1.56,Ideal,G,SI1,62,57,"$12,904 "
160,1.56,Ideal,E,VS2,61.5,55.8,"$21,167 "
161,1.55,Ideal,I,SI1,61.4,56.7,"$12,543 "
162,1.55,Ideal,E,VS1,61.7,56.8,"$22,754 "
163,1.53,Ideal,G,VS2,61.5,57,"$15,305 "
164,1.53,Ideal,J,VVS2,62.2,55.4,"$9,424 "
165,1.53,Ideal,H,VS1,61.5,54.4,"$15,788 "
166,1.53,Ideal,F,VVS1,61.3,56,"$22,234 "
167,1.52,Ideal,F,VS2,62,57.4,"$12,934 "
168,1.52,Ideal,F,VVS2,61.3,58.1,"$18,610 "
169,1.52,Ideal,E,VS2,-,-,"$19,100 "
170,1.52,Ideal,F,VS1,62,56,"$18,345 "
171,1.51,Ideal,G,SI1,61.4,55,"$12,800 "
172,1.51,Ideal,D,VVS2,61.8,57,"$22,897 "
173,1.5,Ideal,I,SI1,61.7,56,"$10,297 "
174,1.5,Ideal,J,VS2,61.1,57,"$9,676 "
175,1.5,Ideal,E,VS1,61.2,57,"$19,963 "
176,1.5,Ideal,G,SI1,61.3,57,"$13,375 "
177,1.5,Ideal,I,VS1,61.6,56.2,"$12,792 "
178,1.48,Ideal,G,VS2,61.2,55,"$13,503 "
179,1.48,Ideal,F,SI1,61.1,55,"$12,808 "
180,1.47,Ideal,H,VS2,61.5,57,"$12,368 "
181,1.46,Ideal,F,VVS1,61.8,56,"$19,051 "
182,1.45,Ideal,G,VS2,61.7,56,"$13,558 "
183,1.45,Ideal,H,SI1,61.9,56,"$11,320 "
184,1.45,Ideal,I,SI1,61.4,57,"$9,676 "
185,1.44,Ideal,F,SI1,61.8,56,"$12,900 "
186,1.44,Ideal,G,VS2,61.8,57,"$13,506 "
187,1.43,Ideal,F,VS2,61.1,56,"$14,098 "
188,1.42,Ideal,J,VS2,61.9,56,"$9,021 "
189,1.42,Ideal,J,VS2,61,57,"$9,326 "
190,1.42,Ideal,H,SI1,62,57,"$11,125 "
191,1.42,Ideal,I,VS2,61.9,55,"$10,783 "
192,1.42,Ideal,F,SI1,61.9,56,"$12,477 "
193,1.41,Ideal,I,SI1,61.4,57,"$9,568 "
194,1.41,Ideal,E,VS2,61.3,56.8,"$17,596 "
195,1.41,Ideal,I,SI1,61.8,56,"$9,709 "
196,1.4,Ideal,F,VS1,61.9,55,"$15,665 "
197,1.4,Ideal,G,SI1,60.6,56,"$11,119 "
198,1.4,Ideal,F,SI1,61.5,55,"$12,107 "
199,1.39,Ideal,E,VVS1,60.9,56.8,"$18,333 "
200,1.38,Ideal,I,VS2,61.8,56,"$9,678 "
201,1.37,Ideal,I,VS2,61.4,56,"$9,647 "
202,1.36,Ideal,H,VS2,61.7,57,"$10,791 "
203,1.35,Ideal,J,VS1,61.8,57,"$8,188 "
204,1.35,Ideal,H,SI1,61.9,55.4,"$11,098 "
205,1.35,Ideal,H,VS2,61.5,55.5,"$12,137 "
206,1.35,Ideal,E,VS2,61.9,55.7,"$15,163 "
207,1.35,Ideal,J,VS2,61.7,56,"$8,221 "
208,1.35,Ideal,D,IF,61.9,55,"$26,166 "
209,1.34,Ideal,I,VVS2,61.4,56,"$9,698 "
210,1.34,Ideal,H,VS2,61.6,56.7,"$12,047 "
211,1.34,Ideal,D,VS1,61.6,57.5,"$18,378 "
212,1.33,Ideal,I,SI1,61.3,56,"$8,876 "
213,1.33,Ideal,I,VS2,61.6,56,"$9,442 "
214,1.33,Ideal,J,VS2,61.8,57,"$8,129 "
215,1.33,Ideal,G,VS2,61.6,57,"$11,812 "
216,1.32,Ideal,J,VS1,61.7,57,"$8,598 "
217,1.32,Ideal,I,SI1,61.7,56,"$7,756 "
218,1.32,Ideal,J,VS1,61.9,56,"$8,396 "
219,1.32,Ideal,E,VVS1,61.3,56,"$17,565 "
220,1.32,Ideal,H,SI1,61.2,56.7,"$7,350 "
221,1.32,Ideal,I,SI1,60.8,57.1,"$7,885 "
222,1.32,Ideal,D,VS2,61.1,56.2,"$18,532 "
223,1.32,Ideal,J,SI1,61.9,57,"$7,682 "
224,1.32,Ideal,H,VS1,61.8,58,"$10,924 "
225,1.31,Ideal,J,VS1,61.4,55.7,"$7,815 "
226,1.31,Ideal,H,VS1,61.9,55.4,"$9,962 "
227,1.31,Ideal,H,VS2,61.6,55.8,"$11,777 "
228,1.31,Ideal,H,VS1,61.5,56.4,"$12,397 "
229,1.31,Ideal,J,VS2,61.2,58,"$8,193 "
230,1.31,Ideal,H,VS2,61.9,57,"$10,237 "
231,1.29,Ideal,H,VS2,61.6,56,"$9,925 "
232,1.29,Ideal,H,VS2,61.7,55.3,"$10,833 "
233,1.28,Ideal,H,VS1,61.3,55.6,"$11,581 "
234,1.27,Ideal,J,SI2,62,55.4,"$7,132 "
235,1.27,Ideal,I,SI1,61.6,57,"$8,056 "
236,1.26,Ideal,J,VS2,61.5,56,"$7,096 "
237,1.26,Ideal,E,VVS1,61.3,57,"$15,399 "
238,1.26,Ideal,D,VS1,61.5,55.7,"$16,986 "
239,1.25,Ideal,G,VS1,61.2,55.9,"$12,723 "
240,1.24,Ideal,J,SI1,61.7,57,"$6,916 "
241,1.24,Ideal,H,SI1,-,-,"$9,120 "
242,1.24,Ideal,I,VS2,61.6,55.5,"$9,256 "
243,1.23,Ideal,I,VS2,61.7,56,"$8,238 "
244,1.23,Ideal,G,VS2,61.5,56,"$9,678 "
245,1.23,Ideal,D,VVS1,61,56,"$16,901 "
246,1.22,Ideal,I,VS1,61.6,56,"$8,745 "
247,1.22,Ideal,J,VS1,61.7,54.9,"$8,421 "
248,1.22,Ideal,I,VVS1,-,-,"$9,070 "
249,1.22,Ideal,I,VS1,61.6,56,"$9,167 "
250,1.22,Ideal,F,SI1,61.4,56.3,"$11,025 "
251,1.22,Ideal,G,VS1,61.4,56.1,"$12,418 "
252,1.22,Ideal,E,VS1,61.9,55.7,"$14,559 "
253,1.21,Ideal,J,VS2,61.4,57,"$6,913 "
254,1.21,Ideal,J,VS2,61.4,57,"$7,085 "
255,1.21,Ideal,I,VS2,61.3,56,"$7,991 "
256,1.21,Ideal,F,SI1,61.5,58,"$9,151 "
257,1.21,Ideal,H,SI1,61,57.9,"$7,815 "
258,1.21,Ideal,I,VS1,61.6,56.4,"$9,091 "
259,1.21,Ideal,G,VS1,61.2,56.9,"$10,900 "
260,1.21,Ideal,H,VS1,61.5,56.3,"$10,948 "
261,1.2,Ideal,F,VS2,61.3,57,"$11,114 "
262,1.2,Ideal,J,SI1,61.3,57,"$6,699 "
263,1.2,Ideal,I,SI1,61.7,55.3,"$8,704 "
264,1.2,Ideal,E,SI1,61.7,56.4,"$11,256 "
265,1.2,Ideal,E,VS2,61.3,57.2,"$13,029 "
266,1.19,Ideal,F,SI2,60.9,54.7,"$7,199 "
267,1.18,Ideal,H,VVS2,61.8,56,"$9,479 "
268,1.18,Ideal,G,SI1,61.7,56.5,"$7,636 "
269,1.18,Ideal,G,VVS2,61.8,56,"$10,878 "
270,1.17,Ideal,H,VS1,61.5,55,"$9,291 "
271,1.17,Ideal,H,VS2,61.9,56,"$8,405 "
272,1.17,Ideal,G,VS1,61.8,56,"$10,425 "
273,1.16,Ideal,G,VS1,61.5,55,"$10,354 "
274,1.15,Ideal,I,VVS2,61.9,57,"$7,866 "
275,1.15,Ideal,J,VS1,61.5,56.8,"$7,938 "
276,1.15,Ideal,G,VS1,62,55.5,"$8,854 "
277,1.14,Ideal,J,VS2,61.3,56,"$6,280 "
278,1.14,Ideal,H,VVS1,61.6,57,"$9,296 "
279,1.14,Ideal,G,SI1,-,-,"$8,550 "
280,1.14,Ideal,J,VS1,61.9,56,"$6,244 "
281,1.13,Ideal,J,VS2,61.6,57,"$6,451 "
282,1.13,Ideal,I,SI1,62,55.3,"$6,127 "
283,1.13,Ideal,I,VS2,61.8,56.2,"$8,144 "
284,1.13,Ideal,I,SI1,61.8,55.2,"$8,197 "
285,1.13,Ideal,F,VS1,62.5,56.3,"$10,080 "
286,1.13,Ideal,E,VS2,61.4,56.1,"$12,269 "
287,1.13,Ideal,I,VVS1,61.8,56,"$7,784 "
288,1.13,Ideal,H,VS1,61.6,56,"$8,934 "
289,1.12,Ideal,G,VS2,61.7,58,"$8,312 "
290,1.12,Ideal,H,SI1,61.3,57,"$7,518 "
291,1.12,Ideal,G,VS2,61.1,56.5,"$8,295 "
292,1.12,Ideal,H,SI1,61.8,55.2,"$8,613 "
293,1.12,Ideal,H,VS2,61.4,55.4,"$8,631 "
294,1.11,Ideal,E,VVS1,61,56,"$12,868 "
295,1.11,Ideal,H,VVS2,61.9,56,"$8,910 "
296,1.11,Ideal,J,VS2,61.4,55.1,"$6,580 "
297,1.11,Ideal,G,SI2,62,55.3,"$7,792 "
298,1.11,Ideal,H,VS2,61.6,58,"$7,503 "
299,1.11,Ideal,F,VS1,61.9,57,"$10,593 "
300,1.11,Ideal,J,VS2,61.3,57,"$6,155 "
301,1.11,Ideal,H,SI1,61.7,56,"$7,243 "
302,1.1,Ideal,H,SI1,61.6,57,"$7,088 "
303,1.1,Ideal,J,SI1,61,56.3,"$5,815 "
304,1.09,Ideal,H,SI1,61.9,58,"$6,783 "
305,1.09,Ideal,H,VS2,61.9,57,"$7,154 "
306,1.09,Ideal,H,VS1,61.2,57.2,"$9,295 "
307,1.09,Ideal,F,VS2,61.1,57.7,"$9,600 "
308,1.09,Ideal,E,VS1,61.2,57.5,"$11,783 "
309,1.09,Ideal,D,VS1,61.4,57.4,"$14,002 "
310,1.09,Ideal,D,VVS1,61,55,"$14,306 "
311,1.09,Ideal,I,VS2,61.5,55,"$7,077 "
312,1.08,Ideal,F,VS1,61.5,56,"$10,161 "
313,1.08,Ideal,G,VS2,61.9,56,"$8,706 "
314,1.08,Ideal,J,VS1,61.8,57,"$6,260 "
315,1.08,Ideal,H,SI2,-,-,"$6,590 "
316,1.08,Ideal,G,VS1,62.4,55.9,"$8,315 "
317,1.08,Ideal,I,SI1,61.9,56,"$6,305 "
318,1.07,Ideal,D,VVS2,61.5,57,"$12,567 "
319,1.07,Ideal,J,SI1,61.7,57,"$5,604 "
320,1.07,Ideal,I,VS1,62.4,55.1,"$6,086 "
321,1.07,Ideal,I,SI2,-,-,"$6,090 "
322,1.07,Ideal,D,VS1,60.6,56.3,"$13,745 "
323,1.07,Ideal,I,VS2,61.9,56,"$6,865 "
324,1.07,Ideal,J,VS2,61.4,57,"$5,602 "
325,1.06,Ideal,J,SI1,-,-,"$5,930 "
326,1.06,Ideal,J,SI1,61.4,56.6,"$6,134 "
327,1.06,Ideal,J,VS2,61.5,56,"$6,283 "
328,1.06,Ideal,H,VS2,62.2,55.9,"$7,045 "
329,1.06,Ideal,I,VS2,61.7,55,"$7,639 "
330,1.06,Ideal,G,VS1,62.3,55.7,"$8,161 "
331,1.06,Ideal,D,SI1,61.3,55.4,"$8,659 "
332,1.06,Ideal,G,VS1,61.4,56.7,"$10,541 "
333,1.06,Ideal,J,SI1,61.6,56,"$5,470 "
334,1.05,Ideal,F,SI1,61.5,56,"$7,736 "
335,1.05,Ideal,G,VS1,61.6,57,"$9,191 "
336,1.05,Ideal,I,VVS2,62.4,55.2,"$6,288 "
337,1.05,Ideal,H,SI2,-,-,"$6,410 "
338,1.05,Ideal,I,VVS1,62.2,55.7,"$6,467 "
339,1.05,Ideal,H,VS1,62.5,55.1,"$7,026 "
340,1.05,Ideal,F,VVS2,61.6,56.4,"$11,100 "
341,1.05,Ideal,D,VS2,61.2,56.3,"$11,203 "
342,1.05,Ideal,E,VS1,61.6,56,"$10,608 "
343,1.05,Ideal,D,VVS2,61.7,56,"$12,456 "
344,1.04,Ideal,E,VS2,60.2,58,"$9,403 "
345,1.04,Ideal,J,VS1,61.6,57,"$6,123 "
346,1.04,Ideal,H,SI1,61.8,56,"$6,281 "
347,1.04,Ideal,G,VS2,60.7,58,"$7,329 "
348,1.04,Ideal,H,VS2,61,57,"$6,912 "
349,1.04,Ideal,I,SI1,61.5,56,"$7,544 "
350,1.04,Ideal,E,VS2,61.6,55.6,"$9,993 "
351,1.04,Ideal,F,VVS2,61.7,56.1,"$11,428 "
352,1.04,Ideal,G,VS1,61.4,57,"$9,094 "
353,1.03,Ideal,G,VS1,61.7,57,"$9,070 "
354,1.03,Ideal,F,VS1,61.5,57,"$10,129 "
355,1.03,Ideal,G,SI1,61.3,57,"$7,046 "
356,1.03,Ideal,J,VVS1,62.2,56.3,"$5,255 "
357,1.03,Ideal,J,VS2,61.6,57,"$5,802 "
358,1.03,Ideal,E,SI1,61.6,56.1,"$9,223 "
359,1.03,Ideal,F,VVS1,62.4,55.2,"$10,574 "
360,1.03,Ideal,F,VS1,61.5,55.7,"$10,789 "
361,1.03,Ideal,H,SI1,61.8,57,"$6,467 "
362,1.03,Ideal,D,VS1,61.4,55,"$10,971 "
363,1.03,Ideal,G,VS1,60.3,57,"$8,803 "
364,1.02,Ideal,H,VS2,61.4,56,"$6,945 "
365,1.02,Ideal,H,VS1,61.2,56.4,"$8,698 "
366,1.02,Ideal,G,SI1,61.8,55,"$8,831 "
367,1.02,Ideal,E,VS2,61.4,57.4,"$9,801 "
368,1.02,Ideal,H,VS2,60.6,58,"$7,045 "
369,1.02,Ideal,G,VS2,61.8,57,"$7,930 "
370,1.02,Ideal,D,VVS1,61.1,57,"$13,859 "
371,1.02,Ideal,D,IF,60.6,57,"$15,983 "
372,1.02,Ideal,G,VS2,61.3,57,"$8,261 "
373,1.01,Ideal,G,SI1,61.5,55,"$6,950 "
374,1.01,Ideal,I,VS1,61.4,55.1,"$8,035 "
375,1.01,Ideal,G,VVS1,61.6,55,"$8,137 "
376,1.01,Ideal,H,VVS2,61.2,56.9,"$8,613 "
377,1.01,Ideal,E,VS2,61.5,56.7,"$9,705 "
378,1.01,Ideal,E,VS1,61.6,55.6,"$9,926 "
379,1.01,Ideal,I,VS1,60.6,57,"$6,386 "
380,1,Ideal,J,VS2,61.8,57,"$5,650 "
381,1,Ideal,E,SI1,61.8,55.4,"$9,594 "
382,0.94,Ideal,G,VS2,60.9,57,"$6,649 "
383,0.94,Ideal,G,SI2,61.8,55.5,"$3,863 "
384,0.93,Ideal,I,VS2,61.3,57,"$5,600 "
385,0.93,Ideal,E,VVS1,61.9,56,"$9,858 "
386,0.92,Ideal,G,VS2,61.7,56,"$6,637 "
387,0.92,Ideal,D,VVS1,61.3,56,"$11,141 "
388,0.91,Ideal,F,VS2,61.8,57,"$6,766 "
389,0.91,Ideal,F,VVS1,61.7,57,"$8,221 "
390,0.91,Ideal,G,SI1,61.7,56,"$5,020 "
391,0.91,Ideal,I,SI1,61.3,57,"$4,341 "
392,0.91,Ideal,F,SI1,60.5,57,"$6,005 "
393,0.9,Ideal,G,VVS2,61.9,57,"$6,960 "
394,0.9,Ideal,F,VS2,61.7,56,"$7,040 "
395,0.9,Ideal,G,SI1,61.8,57,"$5,663 "
396,0.9,Ideal,E,VS2,61.5,56,"$7,452 "
397,0.9,Ideal,G,VVS1,61.5,57,"$7,077 "
398,0.9,Ideal,D,VVS2,61.9,57,"$9,191 "
399,0.9,Ideal,H,VS2,61.8,56,"$5,578 "
400,0.9,Ideal,E,SI2,61.5,57.1,"$4,519 "
401,0.9,Ideal,D,VVS2,61.9,55,"$9,592 "
402,0.9,Ideal,D,VVS1,61.2,55.8,"$12,270 "
403,0.84,Ideal,G,VS2,61.4,56,"$4,563 "
404,0.84,Ideal,G,SI1,61.7,56,"$4,048 "
405,0.83,Ideal,H,SI1,61.8,57,"$3,684 "
406,0.83,Ideal,I,SI2,61.5,57,"$2,881 "
407,0.83,Ideal,J,VS2,61.6,55,"$3,076 "
408,0.83,Ideal,G,SI1,61.4,56,"$4,014 "
409,0.83,Ideal,E,VS2,61.8,55,"$5,085 "
410,0.83,Ideal,H,SI1,61.6,55,"$3,753 "
411,0.83,Ideal,H,VS2,61.7,56,"$4,093 "
412,0.83,Ideal,J,SI1,61.9,55,"$2,861 "
413,0.82,Ideal,I,VS2,61.9,57,"$3,646 "
414,0.82,Ideal,E,VS2,61.8,56,"$5,055 "
415,0.82,Ideal,J,VS2,61.7,56,"$3,051 "
416,0.82,Ideal,F,VS2,61.3,56,"$4,854 "
417,0.82,Ideal,I,SI1,62,56,"$3,056 "
418,0.82,Ideal,H,VS2,61.9,57,"$3,847 "
419,0.82,Ideal,J,VS2,61.8,57,"$2,875 "
420,0.82,Ideal,D,IF,61.4,56,"$7,994 "
421,0.81,Ideal,J,SI1,61.7,57,"$2,819 "
422,0.81,Ideal,F,VS2,61.6,56,"$4,795 "
423,0.81,Ideal,H,VS2,61.6,55,"$4,023 "
424,0.81,Ideal,I,VS2,61.9,57,"$3,584 "
425,0.81,Ideal,G,VS2,61,57,"$4,396 "
426,0.81,Ideal,G,VS2,61.6,57,"$4,391 "
427,0.81,Ideal,F,VS2,61.6,56,"$4,850 "
428,0.81,Ideal,F,VS1,61.5,58,"$5,045 "
429,0.81,Ideal,F,VS2,61.8,56,"$4,826 "
430,0.81,Ideal,H,VS2,61.8,57,"$3,989 "
431,0.81,Ideal,F,VS1,61.7,57,"$4,244 "
432,0.8,Ideal,J,VS2,62.1,56,"$2,809 "
433,0.8,Ideal,G,SI1,61.7,56,"$3,889 "
434,0.8,Ideal,J,VS2,61.9,57,"$2,976 "
435,0.8,Ideal,J,VS2,61.8,57,"$2,825 "
436,0.8,Ideal,H,SI1,61.4,56,"$3,468 "
437,0.8,Ideal,G,SI1,61.1,58,"$3,875 "
438,0.8,Ideal,G,VS1,61.8,56,"$4,630 "
439,0.8,Ideal,G,VS2,61.3,59,"$3,832 "
440,0.8,Ideal,F,VS2,61.8,57,"$4,719 "
441,0.8,Ideal,D,VS1,61.4,57,"$5,505 "
442,0.8,Ideal,D,VS1,60.7,56.5,"$5,865 "
443,0.8,Ideal,F,VS1,60.8,56.5,"$6,063 "
444,0.77,Ideal,J,VS2,61.7,57,"$2,575 "
